#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 44, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 42, 33, 32, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 60, 37, 37, 1, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 2, 0
 1, 58, 33, 32, 2, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 2, 0
 2, 59, 32, 31, 0, 0, 0, 0, -, -, 877, 1290, 312, 5, 0, 2, 0
 3, 58, 36, 36, 0, 0, 0, 0, -, -, 877, 1290, 62, 5, 0, 37, 1
 0, 71, 38, 38, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 69, 34, 32, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 69, 33, 32, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 73, 37, 37, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 0, 71, 38, 38, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 1, 69, 34, 32, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 2, 70, 33, 32, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 3, 73, 38, 38, 0, 0, 0, 0, -, -, 877, 1530, 0, 2, 0, 0, 0
 0, 46, 38, 38, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 1, 53, 34, 32, 0, 0, 0, 0, -, -, 877, 1132, 0, 2, 0, 1, 0
 2, 44, 33, 32, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 3, 45, 37, 38, 0, 0, 0, 0, -, -, 877, 337, 0, 2, 0, 0, 0
 0, 46, 37, 38, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 1, 53, 34, 33, 0, 0, 0, 0, -, -, 877, 1132, 0, 2, 0, 0, 0
 2, 44, 32, 32, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 3, 45, 37, 37, 0, 0, 0, 0, -, -, 877, 337, 0, 2, 0, 0, 0
 0, 46, 37, 37, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 1, 53, 34, 33, 0, 0, 0, 0, -, -, 877, 1132, 0, 2, 0, 0, 0
 2, 44, 32, 31, 0, 0, 0, 0, -, -, 877, 465, 0, 2, 0, 0, 0
 3, 45, 36, 37, 0, 0, 0, 0, -, -, 877, 337, 0, 2, 0, 0, 0
 0, 45, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 43, 33, 32, 0, 0, 0, 0, -, -, 877, 255, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 44, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 43, 33, 32, 0, 0, 0, 0, -, -, 877, 255, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 45, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 42, 33, 32, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 0, 44, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 42, 33, 32, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, rxpci, txpci
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, MB, MB, MB, MB/s, MB/s
 0, 44, 37, 37, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 1, 42, 33, 32, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 2, 43, 32, 31, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
 3, 44, 36, 36, 0, 0, 0, 0, -, -, 877, 135, 0, 2, 0, 0, 0
