pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,500,193.995,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/ring_none/d2d.log,NA
ring,d2h,255M,500,193.357,12.933,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/ring_d2h/background.log
ring,h2d,255M,500,193.201,11.740,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/ring_h2d/background.log
allpairs,none,255M,500,190.770,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/allpairs_none/d2d.log,NA
allpairs,d2h,255M,500,170.851,12.379,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/allpairs_d2h/background.log
allpairs,h2d,255M,500,188.390,12.365,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-5/allpairs_h2d/background.log
