pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,500,193.993,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/ring_none/d2d.log,NA
ring,d2h,255M,500,193.356,14.791,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/ring_d2h/background.log
ring,h2d,255M,500,193.203,13.274,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/ring_h2d/background.log
allpairs,none,255M,500,190.769,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/allpairs_none/d2d.log,NA
allpairs,d2h,255M,500,171.306,13.063,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/allpairs_d2h/background.log
allpairs,h2d,255M,500,188.332,12.238,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-1/allpairs_h2d/background.log
