pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,20,193.975,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/ring_none/d2d.log,NA
ring,d2h,255M,20,193.331,12.543,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/ring_d2h/background.log
ring,h2d,255M,20,193.163,15.275,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/ring_h2d/background.log
allpairs,none,255M,20,179.783,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/allpairs_none/d2d.log,NA
allpairs,d2h,255M,20,128.037,11.288,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/allpairs_d2h/background.log
allpairs,h2d,255M,20,178.208,14.327,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-5/allpairs_h2d/background.log
