pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,20,193.974,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/ring_none/d2d.log,NA
ring,d2h,255M,20,193.333,15.629,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/ring_d2h/background.log
ring,h2d,255M,20,193.164,13.077,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/ring_h2d/background.log
allpairs,none,255M,20,179.811,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/allpairs_none/d2d.log,NA
allpairs,d2h,255M,20,127.586,11.990,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/allpairs_d2h/background.log
allpairs,h2d,255M,20,178.166,14.818,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-2/allpairs_h2d/background.log
