edgeOrder,streamMode,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
source-major,per-edge,300,3,d2h-all,255M,578.196,12.741,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-source-major/stream-per-edge/repeats-300/repetition-3/d2h-all/background.log
destination-major,per-source,20,1,none,255M,179.828,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/none/d2d.log,NA
destination-major,per-source,20,1,d2h-all,255M,127.892,12.206,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-1/d2h-all/background.log
destination-major,per-source,20,2,none,255M,179.813,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/none/d2d.log,NA
destination-major,per-source,20,2,d2h-all,255M,127.975,15.522,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-2/d2h-all/background.log
destination-major,per-source,20,3,none,255M,179.820,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/none/d2d.log,NA
destination-major,per-source,20,3,d2h-all,255M,127.985,14.368,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-20/repetition-3/d2h-all/background.log
destination-major,per-source,300,1,none,255M,188.867,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/none/d2d.log,NA
destination-major,per-source,300,1,d2h-all,255M,159.782,12.783,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-1/d2h-all/background.log
destination-major,per-source,300,2,none,255M,188.825,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/phase-lock-diagnostic/20260826T094355Z-197181/order-destination-major/stream-per-source/repeats-300/repetition-2/none/d2d.log,NA
