permutationId,permutation,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
120,"1,2,0",300,3,none,255M,188.759,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/none/d2d.log,NA
120,"1,2,0",300,3,d2h-all,255M,159.971,12.899,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-120/repeats-300/repetition-3/d2h-all/background.log
201,"2,0,1",20,1,none,255M,179.816,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/none/d2d.log,NA
201,"2,0,1",20,1,d2h-all,255M,127.806,11.451,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-1/d2h-all/background.log
201,"2,0,1",20,2,none,255M,179.819,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/none/d2d.log,NA
201,"2,0,1",20,2,d2h-all,255M,127.896,16.307,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-2/d2h-all/background.log
201,"2,0,1",20,3,none,255M,179.813,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/none/d2d.log,NA
201,"2,0,1",20,3,d2h-all,255M,127.812,12.905,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-20/repetition-3/d2h-all/background.log
201,"2,0,1",300,1,none,255M,188.832,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/none/d2d.log,NA
201,"2,0,1",300,1,d2h-all,255M,159.670,12.181,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q3-edge-permutation/20260826T110853Z-249443/permutation-201/repeats-300/repetition-1/d2h-all/background.log
