pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,20,193.974,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/ring_none/d2d.log,NA
ring,d2h,255M,20,193.325,14.078,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/ring_d2h/background.log
ring,h2d,255M,20,193.165,10.421,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/ring_h2d/background.log
allpairs,none,255M,20,179.814,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/allpairs_none/d2d.log,NA
allpairs,d2h,255M,20,127.987,11.937,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/allpairs_d2h/background.log
allpairs,h2d,255M,20,178.143,15.300,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-7/allpairs_h2d/background.log
