pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,20,193.907,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/ring_none/d2d.log,NA
ring,d2h,255M,20,193.330,12.526,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/ring_d2h/background.log
ring,h2d,255M,20,193.169,11.189,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/ring_h2d/background.log
allpairs,none,255M,20,179.824,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/allpairs_none/d2d.log,NA
allpairs,d2h,255M,20,128.149,11.551,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/allpairs_d2h/background.log
allpairs,h2d,255M,20,178.233,15.424,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repeats-20/repetition-1/allpairs_h2d/background.log
