offsetId,offsetsUs,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
offset-2,"0,500,1000,1500",300,2,d2h-all,255M,158.232,12.433,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-2/d2h-all/background.log
offset-2,"0,500,1000,1500",300,3,none,255M,187.610,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/none/d2d.log,NA
offset-2,"0,500,1000,1500",300,3,d2h-all,255M,157.957,13.435,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-2/repeats-300/repetition-3/d2h-all/background.log
offset-3,"0,1000,2000,3000",20,1,none,255M,179.793,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/none/d2d.log,NA
offset-3,"0,1000,2000,3000",20,1,d2h-all,255M,127.531,15.103,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-1/d2h-all/background.log
offset-3,"0,1000,2000,3000",20,2,none,255M,179.832,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/none/d2d.log,NA
offset-3,"0,1000,2000,3000",20,2,d2h-all,255M,128.082,11.994,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-2/d2h-all/background.log
offset-3,"0,1000,2000,3000",20,3,none,255M,179.796,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/none/d2d.log,NA
offset-3,"0,1000,2000,3000",20,3,d2h-all,255M,128.141,15.650,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-20/repetition-3/d2h-all/background.log
offset-3,"0,1000,2000,3000",300,1,none,255M,186.327,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/none/d2d.log,NA
offset-3,"0,1000,2000,3000",300,1,d2h-all,255M,152.692,13.175,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-1/d2h-all/background.log
offset-3,"0,1000,2000,3000",300,2,none,255M,186.417,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/none/d2d.log,NA
offset-3,"0,1000,2000,3000",300,2,d2h-all,255M,152.454,12.357,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-2/d2h-all/background.log
offset-3,"0,1000,2000,3000",300,3,none,255M,186.368,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q4-source-offset/20260826T113225Z-267432/offset-3/repeats-300/repetition-3/none/d2d.log,NA
