pattern,direction,size,repeats,d2dAggregateGBps,backgroundAggregateGBps,status,d2dLog,backgroundLog
ring,none,255M,500,193.992,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/ring_none/d2d.log,NA
ring,d2h,255M,500,193.353,12.983,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/ring_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/ring_d2h/background.log
ring,h2d,255M,500,193.197,12.012,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/ring_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/ring_h2d/background.log
allpairs,none,255M,500,190.764,NA,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/allpairs_none/d2d.log,NA
allpairs,d2h,255M,500,170.996,13.126,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/allpairs_d2h/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/allpairs_d2h/background.log
allpairs,h2d,255M,500,188.387,12.307,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/allpairs_h2d/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/main-effect/repetition-7/allpairs_h2d/background.log
