streamAssignment,assignmentId,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
"1,0,1",101,20,3,d2h-all,255M,162.159,11.623,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-20/repetition-3/d2h-all/background.log
"1,0,1",101,300,1,none,255M,260.502,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/none/d2d.log,NA
"1,0,1",101,300,1,d2h-all,255M,162.560,12.287,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-1/d2h-all/background.log
"1,0,1",101,300,2,none,255M,260.506,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/none/d2d.log,NA
"1,0,1",101,300,2,d2h-all,255M,162.699,11.702,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-2/d2h-all/background.log
"1,0,1",101,300,3,none,255M,260.478,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/none/d2d.log,NA
"1,0,1",101,300,3,d2h-all,255M,162.601,12.005,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-101/repeats-300/repetition-3/d2h-all/background.log
"1,1,0",110,20,1,none,255M,260.501,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/none/d2d.log,NA
"1,1,0",110,20,1,d2h-all,255M,162.305,15.009,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-1/d2h-all/background.log
"1,1,0",110,20,2,none,255M,260.448,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/none/d2d.log,NA
"1,1,0",110,20,2,d2h-all,255M,162.132,15.578,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-2/d2h-all/background.log
"1,1,0",110,20,3,none,255M,260.498,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/none/d2d.log,NA
"1,1,0",110,20,3,d2h-all,255M,162.612,15.555,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-20/repetition-3/d2h-all/background.log
"1,1,0",110,300,1,none,255M,260.427,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/none/d2d.log,NA
"1,1,0",110,300,1,d2h-all,255M,162.589,11.263,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-1/d2h-all/background.log
"1,1,0",110,300,2,none,255M,260.413,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/none/d2d.log,NA
"1,1,0",110,300,2,d2h-all,255M,162.623,12.282,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-2/d2h-all/background.log
"1,1,0",110,300,3,none,255M,260.424,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/none/d2d.log,NA
"1,1,0",110,300,3,d2h-all,255M,162.729,12.419,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T154321Z-303566/assignment-110/repeats-300/repetition-3/d2h-all/background.log
