streamsPerSource,repeats,repetition,scenario,size,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
2,300,3,d2h-all,255M,162.592,12.379,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-2/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-2/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-2/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-2/repeats-300/repetition-3/d2h-all/background.log
3,20,1,none,255M,581.649,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/none/d2d.log,NA
3,20,1,d2h-all,255M,577.978,16.707,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-1/d2h-all/background.log
3,20,2,none,255M,581.656,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/none/d2d.log,NA
3,20,2,d2h-all,255M,577.983,12.725,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-2/d2h-all/background.log
3,20,3,none,255M,581.642,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/none/d2d.log,NA
3,20,3,d2h-all,255M,578.010,15.299,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-20/repetition-3/d2h-all/background.log
3,300,1,none,255M,581.873,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/none/d2d.log,NA
3,300,1,d2h-all,255M,578.144,14.371,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-1/d2h-all/background.log
3,300,2,none,255M,581.874,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/none/d2d.log,NA
3,300,2,d2h-all,255M,578.199,15.137,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-2/d2h-all/background.log
3,300,3,none,255M,581.869,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/none/d2d.log,NA
3,300,3,d2h-all,255M,578.148,13.449,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/q2-stream-count/20260826T104819Z-233894/streams-3/repeats-300/repetition-3/d2h-all/background.log
