streamAssignment,assignmentId,repeats,repetition,scenario,d2dSize,backgroundSize,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,status,d2dJson,backgroundJson,d2dLog,backgroundLog
"0,1,1",011,20,1,none,255M,8M,247.447,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/none/d2d.log,NA
"0,1,1",011,20,1,d2h-all,255M,8M,180.300,13.361,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-1/d2h-all/background.log
"0,1,1",011,20,2,none,255M,8M,260.396,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/none/d2d.log,NA
"0,1,1",011,20,2,d2h-all,255M,8M,180.434,13.012,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-2/d2h-all/background.log
"0,1,1",011,20,3,none,255M,8M,260.495,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/none/d2d.log,NA
"0,1,1",011,20,3,d2h-all,255M,8M,176.187,13.419,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-20/repetition-3/d2h-all/background.log
"0,1,1",011,300,1,none,255M,8M,260.440,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/none/d2d.log,NA
"0,1,1",011,300,1,d2h-all,255M,8M,179.736,12.792,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-1/d2h-all/background.log
"0,1,1",011,300,2,none,255M,8M,260.433,NA,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/none/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/none/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/none/d2d.log,NA
"0,1,1",011,300,2,d2h-all,255M,8M,180.291,12.999,0,0,pass,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/d2h-all/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/d2h-all/background.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/d2h-all/d2d.log,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/queue-phase-diagnostic/stream-assignment/20260826T163827Z-338551/assignment-011/repeats-300/repetition-2/d2h-all/background.log
