mode,repeats,repetition,scenario,d2dAggregateGBps,backgroundAggregateGBps,d2dExit,backgroundExit,d2dJson,backgroundJson
async,20,3,d2h-all,127.888,14.866,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-3/d2h-all/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-3/d2h-all/async/background.json
sync,20,3,d2h-all,127.386,14.198,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-3/d2h-all/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-20/repetition-3/d2h-all/sync/background.json
async,500,1,none,190.731,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/none/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/none/async/background.json
sync,500,1,none,179.319,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/none/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/none/sync/background.json
async,500,1,d2h-gpu0,173.100,11.210,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-gpu0/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-gpu0/async/background.json
sync,500,1,d2h-gpu0,130.668,9.720,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-gpu0/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-gpu0/sync/background.json
async,500,1,d2h-all,171.034,12.996,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-all/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-all/async/background.json
sync,500,1,d2h-all,127.343,11.425,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-all/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-1/d2h-all/sync/background.json
async,500,2,none,190.795,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/none/async/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/none/async/background.json
sync,500,2,none,179.316,NA,0,0,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/none/sync/d2d.json,/home/songxb26/HyLink/Cu-Hylink-Analyse/doc/results/gpu-contention/timing-repeat-diagnostic/sync-each-iteration/repeats-500/repetition-2/none/sync/background.json
